year	Both-Mean	Both-10th_pctile	Both-20th_pctile	Both-30th_pctile	Both-40th_pctile	Both-50th_pctile	Both-60th_pctile	Both-70th_pctile	Both-80th_pctile	Both-90th_pctile	Male-Mean	Male-10th_pctile	Male-20th_pctile	Male-30th_pctile	Male-40th_pctile	Male-50th_pctile	Male-60th_pctile	Male-70th_pctile	Male-80th_pctile	Male-90th_pctile	Female-Mean	Female-10th_pctile	Female-20th_pctile	Female-30th_pctile	Female-40th_pctile	Female-50th_pctile	Female-60th_pctile	Female-70th_pctile	Female-80th_pctile	Female-90th_pctile
1994	25.487010014	20.2544458978	21.6329101427	22.8243642855	23.7770669493	24.9358587934	25.8244106387	27.1967006605	28.7296568356	31.324106912	26.1432508923	21.5822607694	22.957374029	23.7523506635	24.8190071516	25.7268845993	26.5444637211	27.4978324481	28.9747988936	31.2475368729	24.8562121495	21.5822607694	22.957374029	23.7523506635	24.8190071516	25.7268845993	26.5444637211	27.4978324481	28.9747988936	31.2475368729
1995	25.6603802911	20.2544458978	21.7689023532	22.957374029	24.0091328328	25.0592855296	25.8481463103	27.368625505	29.0252031377	31.6638579684	26.3121472209	21.6996783839	23.0125928666	24.0117589593	25.0173978063	25.8019980625	26.6083859076	27.8069511478	29.2134174365	31.5663892899	25.0350758189	21.6996783839	23.0125928666	24.0117589593	25.0173978063	25.8019980625	26.6083859076	27.8069511478	29.2134174365	31.5663892899
1996	25.7542943767	20.3606694928	21.8131326059	23.0232185803	24.1290151592	25.0672208916	26.1472157717	27.408593548	29.0992687128	31.885241707	26.2989391915	21.6660217399	23.0125928666	24.0706451336	24.9980294983	25.8019980625	26.6083859076	27.7058757223	29.1589428284	31.5663892899	25.228086961	21.6660217399	23.0125928666	24.0706451336	24.9980294983	25.8019980625	26.6083859076	27.7058757223	29.1589428284	31.5663892899
1997	25.8570763717	20.4848576794	21.9268748384	23.0559082829	24.2103849738	25.1043538203	26.3651092365	27.4571551812	29.2281382314	31.9300630891	26.4272028592	21.6996783839	23.0282301217	24.2103849738	25.0879067129	25.8270457827	26.7604338271	27.8940519595	29.3752671015	31.7548516194	25.3089412073	21.6996783839	23.0282301217	24.2103849738	25.0879067129	25.8270457827	26.7604338271	27.8940519595	29.3752671015	31.7548516194
1998	26.0933035476	20.5264691287	21.9709243637	23.1798391149	24.3276671155	25.2531114319	26.5205746742	27.7612414366	29.5299494735	32.5495175759	26.5729239976	21.7428524845	23.1008576167	24.3276671155	25.0902531314	25.8423882024	26.9142792731	28.057807211	29.5345339063	32.0977711669	25.6293909072	21.7428524845	23.1008576167	24.3276671155	25.0902531314	25.8423882024	26.9142792731	28.057807211	29.5345339063	32.0977711669
1999	26.2643202053	20.597741591	22.1425289632	23.4033721413	24.3943060868	25.6060720992	26.6054162217	28.024138219	29.8220302998	32.6130908524	26.8044633397	21.8095053276	23.2443412044	24.3659904727	25.1046467635	26.1522421492	27.1245979799	28.2460386268	29.8370577779	32.3569168802	25.7439569826	21.8095053276	23.2443412044	24.3659904727	25.1046467635	26.1522421492	27.1245979799	28.2460386268	29.8370577779	32.3569168802
2000	26.4237195852	20.6741737344	22.2399560906	23.4840279932	24.4121381819	25.7471769887	26.6314234712	28.2095818991	29.9861058565	32.9563865456	26.9388959484	21.9100630774	23.4033721413	24.3943060868	25.1788003728	26.386548307	27.2618816595	28.4808278789	30.1054880555	32.6903026865	25.9204587047	21.9100630774	23.4033721413	24.3943060868	25.1788003728	26.386548307	27.2618816595	28.4808278789	30.1054880555	32.6903026865
2001	26.5946202115	20.7841047461	22.3142200569	23.6183008479	24.6915695243	25.8019980625	27.0692762192	28.3419610174	30.1785849741	33.2814002196	27.0493450163	21.873275811	23.4033721413	24.4072954646	25.3996991594	26.4563379882	27.368625505	28.6967175363	30.2728972539	32.9831853837	26.1509024067	21.873275811	23.4033721413	24.4072954646	25.3996991594	26.4563379882	27.368625505	28.6967175363	30.2728972539	32.9831853837
2002	26.6654239265	20.7841047461	22.3152415676	23.627627125	24.783810874	25.8244106387	27.1245979799	28.3495798242	30.2860741998	33.4505422839	27.1758709376	21.8555550907	23.4791325297	24.4072954646	25.561740257	26.4993493615	27.4384363036	28.7370567802	30.4095838944	33.2470508668	26.1662795648	21.8555550907	23.4791325297	24.4072954646	25.561740257	26.4993493615	27.4384363036	28.7370567802	30.4095838944	33.2470508668
2003	26.7982531319	20.8051202138	22.3777933334	23.6747919674	24.8226606689	25.8423882024	27.1967006605	28.5914032585	30.5151727274	33.656644024	27.2258659243	21.8968307882	23.493080184	24.4121381819	25.6782169335	26.5444637211	27.4978324481	28.8879940502	30.5151727274	33.2263506446	26.3756113461	21.8968307882	23.493080184	24.4121381819	25.6782169335	26.5444637211	27.4978324481	28.8879940502	30.5151727274	33.2263506446
2004	26.911435512	20.9025473412	22.4649451482	23.7099441656	24.9610501647	25.8481463103	27.3361709203	28.7296568356	30.6834571554	33.9057474749	27.3741977641	22.0469483235	23.5674275182	24.4121381819	25.7683680809	26.5810805157	27.7612414366	29.0252031377	30.6834571554	33.4728623514	26.4541069859	22.0469483235	23.5674275182	24.4121381819	25.7683680809	26.5810805157	27.7612414366	29.0252031377	30.6834571554	33.4728623514
2005	27.0494991086	20.9205389696	22.5030920819	23.7770669493	25.0592855296	26.1522421492	27.408593548	28.9039716074	30.8722615192	34.1702136504	27.4554267913	21.9653887315	23.627627125	24.6613358117	25.7683680809	26.6254908752	27.8940519595	29.0524619686	30.8489713515	33.7473398227	26.6491916742	21.9653887315	23.627627125	24.6613358117	25.7683680809	26.6254908752	27.8940519595	29.0524619686	30.8489713515	33.7473398227
2006	27.132727792	20.982333644	22.4982265485	23.7770669493	25.0592855296	26.2479309732	27.4384363036	29.0524619686	30.9995405485	34.3295693183	27.5445832412	21.9507490429	23.5674275182	24.6317629545	25.8019980625	26.6314234712	27.8940519595	29.270651887	31.0041942607	33.9057474749	26.7247198325	21.9507490429	23.5674275182	24.6317629545	25.8019980625	26.6314234712	27.8940519595	29.270651887	31.0041942607	33.9057474749
2007	27.3187775947	20.987151631	22.6704068537	24.0052692122	25.1043538203	26.4993493615	27.6040832035	29.2138645351	31.2475368729	34.5838624244	27.7482508692	22.1509004297	23.6747919674	24.9661442566	25.8270457827	27.0462120146	28.1288651023	29.5299494735	31.2475368729	34.3025127991	26.8934754417	22.1509004297	23.6747919674	24.9661442566	25.8270457827	27.0462120146	28.1288651023	29.5299494735	31.2475368729	34.3025127991
2008	27.3578715347	20.982333644	22.6735688139	24.0306985228	25.1046467635	26.5205746742	27.7058757223	29.2640823991	31.324106912	34.7015517958	27.7866636729	22.0469483235	23.6747919674	24.9980294983	25.8423882024	27.0692762192	28.1916962208	29.5345339063	31.324106912	34.3295693183	26.9328455576	22.0469483235	23.6747919674	24.9980294983	25.8423882024	27.0692762192	28.1916962208	29.5345339063	31.324106912	34.3295693183
2009	27.4921252605	21.0335592244	22.733652347	24.1290151592	25.2399546324	26.5810805157	27.8940519595	29.4141354747	31.5663892899	34.9621765067	27.8863108185	22.1509004297	23.7099441656	25.0362615102	25.8481463103	27.1245979799	28.2460386268	29.6493442971	31.5663892899	34.4565176032	27.1005497755	22.1509004297	23.7099441656	25.0362615102	25.8481463103	27.1245979799	28.2460386268	29.6493442971	31.5663892899	34.4565176032
2010	27.5481004228	21.1092386456	22.8071879208	24.1408922021	25.3725265987	26.5810805157	27.9785989944	29.5299494735	31.5663892899	35.0737658777	27.9390921815	22.1509004297	23.7099441656	25.0592855296	25.8481463103	27.1967006605	28.2891901867	29.747655103	31.5663892899	34.6909332059	27.1585477789	22.1509004297	23.7099441656	25.0592855296	25.8481463103	27.1967006605	28.2891901867	29.747655103	31.5663892899	34.6909332059
